tanggal,kode_cabang,kode_menu,nama_porsi,jumlah_terjual,harga_satuan,diskon
2026-09-01,AF001,M001,Biasa,3,15000,0
2026-09-01,AF001,M002,Biasa,2,18000,0
2026-09-01,AF002,M001,Biasa,5,15000,2000
2026-09-02,AF002,M003,Jumbo,3,18000,0
2026-09-02,AF003,M001,Biasa,4,15000,0
2026-09-03,AF001,M004,Biasa,2,16000,0
2026-09-03,AF002,M002,Jumbo,4,18000,3000
2026-09-04,AF003,M001,Biasa,6,15000,0
2026-09-05,AF001,M005,Biasa,8,5000,0
2026-09-05,AF002,M001,Jumbo,5,15000,0
2026-09-06,AF003,M002,Biasa,3,18000,0
2026-09-06,AF001,M003,Jumbo,2,18000,1000
